	0
0	CD19
1	CD79A
2	CCR2
3	PAX5
4	RAG1
5	RAG2
6	CHCHD10
7	CD79A
8	CD79B
9	CD19
10	MS4A1
11	MKI67
12	STMN1
13	DNTT
14	VPREB1
15	PAX5
16	RAG1
17	RAG2
18	CD22
19	CD74
20	IGHM
21	IGKC
22	IGLC3
23	CD93
24	CD74
25	IFI30
26	TMSB4X
27	PFN1
28	CD37
29	H3F3B
30	EIF1
31	CD24
32	TIFA
33	CXCR4
34	CCL2
35	CXCL1
36	CXCL2
37	CCL4
38	ITGB2
39	IGHA1
40	IGHG1
41	IGHG2
42	SDC1
43	PRDM1
44	JCHAIN
45	IGHD
46	CD19
47	CD22
48	CD52
49	MS4A1
50	LTB
51	CD37
52	CD79B
53	CD52
54	HLA-DQB1
55	TNFRSF13C
56	TCL1A
57	LINC00926
58	STAG3
59	IGHD
60	BANK1
61	IRF8
62	BIRC3
63	P2RX5
64	VPREB3
65	CD22
66	CD74
67	SELL
68	CD27
69	CD38
70	IGLC2
71	IGHG1
72	IGKC
73	IGHG2
74	IGHG3
75	IGHGP
76	IGLC3
77	JCHAIN
78	IGHA1
79	IGHG4
80	IGHA2
81	IGHM
82	MZB1
83	CD79A
84	SSR4
85	IL16
86	IGKC
87	MS4A1
88	CD79A
89	PRDX2
90	HBD
91	BCL6
92	AICDA
93	STMN1
94	BIRC5
95	TOP2A
96	AURKB
97	CXCR4
98	TACC3
99	CKS1B
100	CDK1
101	MKI67
102	UBE2C
103	CCNA2
104	KIAA0101
105	CDCA3
106	KIF22
107	HMGB3
108	CDKN3
109	NUSAP1
110	AICDA
111	MYBL2
112	LMNB1
113	GPX1
114	CD27
115	LY86
116	HMCES
117	JCHAIN
118	HSPA4
119	DNAJC10
120	FCRLA
121	INPP5D
122	QRSL1
123	REEP5
124	LILRB1
125	CD24
126	WDR83OS
127	ALOX5
128	ARHGEF2
129	SERINC2
130	RPS19BP1
131	PYCARD
132	BCL2A1
133	CD83
134	IL4I1
135	LMO3
136	EBI3
137	HLA-DQB2
138	TRAF4
139	PLEK
140	IER2
141	NFKBIA
142	FCER2
143	BCAR3
144	DUSP1
145	SNX11
146	PLPP5
147	PHACTR1
148	TAP1
149	RAB3GAP2
150	DHRS9
151	FCRL5
152	BCL2A
153	CD83
154	IL4I1
155	LMO2
156	EBI3
157	HLA-DQB2
158	TRAF4
159	PLEK
160	IER2
161	NFKBIA
162	FCER2
163	BCAR3
164	DUSP2
165	SNX11
166	PLPP5
167	PHACTR1
168	TAP1
169	RAB3GAP2
170	DHRS9
171	FCRL5
172	NOTCH2
173	JAM3
174	PRDM1
175	SDC1
176	PCNA
177	MKI67
178	CDK1
179	CDC20
180	FOXP1
181	AICDA
182	MYC
183	EZH2
184	E2F1
185	FOXO1
186	BCL6
187	PCNA
188	MKI67
189	CDK1
190	CDC20
191	CD72
192	PTPN6
193	IFNGR1
194	CAMK1
195	CD22
196	CD83
197	BCL2A1
198	MYC
199	SLA
200	FCRL2
201	CFLAR
202	FOXP1
203	CCR6
204	CD44
205	CD69
206	CXCR4
207	BANK1
208	RASGPR2
209	CELF2
210	IFITM1
211	ITFM2
212	INFGR1
213	GPR183
214	TNFRSF13B
215	SELL
216	MYC
217	FXYD5
218	STAT1
219	PAX5
220	MEF2B
221	S1PR2
222	PRDM1
223	CD9
224	IRF4
225	XBP1
226	MZB1
227	TNFRSF17
228	FKBP11
229	CAMK1
230	MEF2B
231	RGS13
232	MS4A1
233	PAX5
234	IRF4
235	PRDM1
236	XBP1
237	FKBP11
238	CD52
239	CD83
240	HSPD1
241	RAN
242	MIF
243	ATP5B
244	MYC
245	DKC1
246	LRRC58
247	H2A
248	GADD45A
249	AICDA
250	PAX5
251	SON
252	BRD4
253	TCF3
254	CECR2
255	FAM193a
256	BCL6
257	CXCR4
258	RPS15
259	RPS26
260	RPS20
261	SNHG8
262	BRCA1
263	MCM5
264	LIG1
265	DHFR
266	CDC6
267	BCL6
268	FAS
269	CD38
270	CCR6
271	BCL2
272	MKI67
273	HIST1H1B
274	CENPF
275	CENPE
276	INCENP
277	HIS1H2AP
278	TOP2A
279	HIST1H1E
280	HHEX
281	KIF2
282	ZEB2
283	HIST1H4E
